ID,CharacterName,Dialogue,state
1,피오나,반가워! 난 낚시하는 방법을 알려줄 피오나야,Normal
,,낚시를 하기 위해서는 낚시대가 필요하지! 낚시대는 상점에서 살 수 있어.,Talk
,,낚시대를 손에 든 뒤에는 내 옆이나 마을의 다리 위에서 낚시를 할 수 있어.,Happy
,,물가에서 낚시대를 사용하면 잠시 뒤에 물고기가 미끼를 물거야. 그러면 낚시 미니게임이 시작돼.,Talk
,,미니게임은 단순해! 움직이는 물고기 그림이 파란 범위에 들어올 때 'F'키를 눌러 낚아 올릴 수 있어.,Smile
,,미니게임에 성공하면 물고기를 획득할 수 있어. 하지만 실패하면... 아쉬운거지.,Sad
2,NPC1,호감도 레벨 6미만에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 대화를 시작했고` 마지막 줄 입니다.,Happy
3,NPC1,호감도 레벨 10이하에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 대화를 시작했고` 마지막 줄 입니다.,Happy
4,NPC1,호감도 레벨 3미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 3미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 3미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
5,NPC1,호감도 레벨 6미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
6,NPC1,호감도 레벨 10이하에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 선물을 주었고` 마지막 줄 입니다.,Happy
7,피오나,어머! 가져다줘서 정말 고마워!,Happy
