ID,CharacterName,Dialogue,state
1,하비,안녕? 난 농사하는 방법을 알려줄 하비야,Normal
,,우선 농사를 위해서는 마을의 상점에서 살 수 있는 괭이` 물뿌리개` 씨앗이 필요해.,Talk
,,아이템을 다 구했으면 내 옆의 넓은 밝은 색의 공터에서 괭이를 사용해 땅을 경작할 수 있어.,Happy
,,경작할 수 있는 곳은 이 옆 공터 뿐이야.,Talk
,,경작을 했으면 이제 그 곳에 씨앗을 사용해 심을 수 있어.,Happy
,,그 곳에 물을 주면 오늘 할 수 있는 농사는 끝이야.,Talk
,,그리고 다음날에도 물을 주고` 또 그 다음날도 물을 주고… 다 자랄 때 까지 반복하는거야.,Talk
,,다 자란 작물은 우클릭으로 수확할 수 있어.,Smile
,,하지만 계절이 지나면 모든 작물이 사라지니 그 전에 수확하는 걸 잊지 마! 지금은 봄에 심는 작물밖에 없어,Sad
2,NPC1,호감도 레벨 6미만에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 대화를 시작했고` 마지막 줄 입니다.,Happy
3,NPC1,호감도 레벨 10이하에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 대화를 시작했고` 마지막 줄 입니다.,Happy
4,NPC1,호감도 레벨 3미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 3미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 3미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
5,NPC1,호감도 레벨 6미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
6,NPC1,호감도 레벨 10이하에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 선물을 주었고` 마지막 줄 입니다.,Happy
7,하비,정말 필요했던거야` 고마워!,Happy
