ID,CharacterName,Dialogue,state
1,마네,현재 체력과 스태미너는 사용되지 않도록 설정되어있습니다,Normal
,,상점은 6시 방향으로 내려가서 마을의 좌측 상단 집에서 이용가능합니다,Talk
,,집안의 침대에 들어가서 잠자기를 누르면 하루를 넘길 수 있습니다,Happy
,,하루의 시작은 06시` 끝은 익일 02시 입니다,Talk
,,현재 테스트를 위한 최소한의 구현만 되어있고 콘텐츠도 최소한으로 구성되어있습니다,Happy
,,현재 단계에서는 게임성 보다는 게임 시스템의 버그나 불편한점` 추가되었으면 좋겠는 점을 위주로 평가해주시면 감사하겠습니다.,Talk
2,NPC1,호감도 레벨 6미만에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 대화를 시작했고` 마지막 줄 입니다.,Happy
3,NPC1,호감도 레벨 10이하에서 대화를 시작했고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 대화를 시작했고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 대화를 시작했고` 마지막 줄 입니다.,Happy
4,NPC1,호감도 레벨 3미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 3미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 3미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
5,NPC1,호감도 레벨 6미만에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 6미만에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 6미만에서 선물을 주었고` 마지막 줄 입니다.,Happy
6,NPC1,호감도 레벨 10이하에서 선물을 주었고` 처음 줄 입니다.,Normal
,,호감도 레벨 10이하에서 선물을 주었고` 중간 줄 입니다.,Talk
,,호감도 레벨 10이하에서 선물을 주었고` 마지막 줄 입니다.,Happy
7,마네,가져다줘서 정말 고마워요.,Normal
